scenario_id,model,reference,backend,device,rk4_dt_s,duration_days,hp_km,ha_km,a_km,e,inc_deg,raan_deg,argp_deg,ta_deg,rms_pos_err_km,final_pos_err_km,max_pos_err_km,p95_pos_err_km,rms_vel_err_ms,final_vel_err_ms,max_vel_err_ms,p95_vel_err_ms,radial_rms_km,along_rms_km,cross_rms_km,radial_max_km,along_max_km,cross_max_km,rms_alt_err_km,final_alt_err_km,max_abs_alt_err_km,min_alt_model_km,min_alt_truth_km,status,failure_reason
0,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,354.79120971119266,354.79120971119266,2092.7912097111926,0.0,154.54762558404886,251.052490461371,33.90384523955383,351.22404658923216,0.0002553828373455249,0.00047594376735390627,0.000531578710016492,0.00045935338150618273,0.000184584636890566,0.0003396786788422143,0.00035666187344759337,0.00031180443216006934,1.6846003019677398e-05,0.00025448766563277933,1.3139019510243624e-05,4.771056922237646e-05,0.0005310823043446669,2.4989528589443582e-05,1.684600691608585e-05,-3.977690892043029e-05,4.77106140124306e-05,354.63167772783385,354.63163001721983,ok,
1,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,352.2279403980706,352.2279403980706,2090.2279403980706,0.0,23.06045388159826,162.13893764240416,133.48728872372925,333.63539598549664,0.0001548690330882331,0.00018019612835993822,0.0003809188627553722,0.00031175051933736826,0.00010422139085541402,0.00014050612838351797,0.00021061543901985353,0.00018504317634123485,3.276519356346247e-05,0.00015080604515481342,1.2976757884674193e-05,9.941532117755605e-05,0.0003809188324509418,3.618907406591667e-05,3.276519364333944e-05,-9.795859199357437e-05,9.941531300228235e-05,350.7931956136159,350.793244583108,ok,
2,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,328.7730240161329,328.7730240161329,2066.773024016133,0.0,79.81455578891959,81.80593984251968,199.65052332570053,22.974212197503117,0.00016338662517287772,0.0002321033912933725,0.00034311237820733705,0.0003028411761767228,0.00011831541381131061,0.0001679761920525641,0.00021174551083745952,0.00020013239192525736,1.8217384993089155e-05,0.00016093783799064326,2.150182485961334e-05,6.778961032047027e-05,0.00034217888321989707,4.3236495635113766e-05,1.8217384565351892e-05,6.778962210773898e-05,6.778962210773898e-05,327.2195788586519,327.2196007191399,ok,
3,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,365.5262343985164,365.5262343985164,2103.5262343985164,0.0,136.4557932153673,127.62934852675261,349.4512887821652,321.5236036759912,0.0001250538323207182,0.00011643835424047999,0.00023502895126976218,0.0002054195695098727,8.925105661904516e-05,0.0001101305044204711,0.0001453105556370488,0.00013286242583961542,1.3748676041387216e-05,0.00012340364256417427,1.4865257720631944e-05,3.313937606132106e-05,0.0002325408544069264,3.592505140447061e-05,1.3748676115065427e-05,1.4288579109233979e-05,3.313938293558749e-05,364.1421655026865,364.14217240460357,ok,
4,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,355.67669941475236,355.67669941475236,2093.6766994147524,0.0,84.00978067086615,15.76935568340236,55.544217144317216,245.89762316728365,0.00012069395724745551,0.00015646305607949033,0.00023789242727487785,0.0002055560384089246,5.7777622913688986e-05,8.778542787890365e-05,9.732520128125746e-05,8.917201145672413e-05,5.1573252583795794e-05,0.00010880492857090627,8.289659381337895e-06,0.00010849660280374084,0.00023788158885028682,2.3227033163869677e-05,5.1573252547562285e-05,9.555427357099688e-05,0.00010849660264966587,353.44523964907347,353.4451440947999,ok,
5,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,348.95243118156344,348.95243118156344,2086.9524311815635,0.0,58.648564464867356,133.3654941725528,169.04009205929086,68.20968927034285,7.16228459663506e-05,0.00016621854750422556,0.00018173217508345182,0.000146724945571837,3.646709064309082e-05,7.262708752978162e-05,7.748912090779441e-05,7.055837302884392e-05,2.888198783868033e-05,6.458405378793436e-05,1.1160772335421429e-05,7.26722101573213e-05,0.0001784974566469482,3.489964966684833e-05,2.8881987748955968e-05,3.770122606283621e-05,7.267220996709511e-05,347.547102683685,347.54711327883575,ok,
6,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,225.98430106709432,225.98430106709432,1963.9843010670943,0.0,40.843682829159135,241.13303808570373,157.37469079403905,299.7641505808215,0.0002986668730962018,0.0008852113605385327,0.0008852113605385327,0.0007231430275201951,0.00020870977441477144,0.0005404600004531694,0.0005404600004531694,0.0004584141019966455,9.113729137910779e-05,0.0002827317297424577,3.096230291790594e-05,0.00026093198179283263,0.0008785248153842584,5.767376654309534e-05,9.113729597930459e-05,0.00014428942535005262,0.0002609320331714571,224.3844392047755,224.3846044742635,ok,
7,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,340.0530204004498,340.0530204004498,2078.05302040045,0.0,149.8067642511362,289.7151686988487,139.4922164508628,103.79811741488788,0.00011511822985356265,0.00017249491548498714,0.0002983001598665349,0.00023712733142461796,6.909335121954391e-05,0.0001280793791982872,0.00016542372714912218,0.0001362093009222494,4.0274632242239723e-05,0.00010519801163114585,2.3738980416676025e-05,8.673313944893983e-05,0.00029820941290102524,5.849413700543983e-05,4.0274632250441835e-05,8.673314471252525e-05,8.673314471252525e-05,338.4000311927223,338.39997434596114,ok,
8,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,336.4991007949951,336.4991007949951,2074.4991007949952,0.0,35.9834764455195,2.6504171103619845,283.2927759007698,239.34630837313156,3.9865008488601605e-05,9.27847737858736e-05,9.27847737858736e-05,8.101809804709032e-05,2.8282469489866984e-05,5.194218658558673e-05,6.779557194006651e-05,5.3832636008608954e-05,7.663441605856417e-06,3.0063260487383443e-05,2.503379582519671e-05,2.1473736945658068e-05,8.317254903169761e-05,6.141804873397657e-05,7.663441668913464e-06,2.062500777810783e-05,2.1473738854638214e-05,333.5797427414495,333.5797221164417,ok,
9,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,341.03307572526705,341.03307572526705,2079.0330757252673,0.0,82.60483959690119,204.74683054304174,50.32691932595668,41.23082647295044,0.00021491349077402272,0.0005245724647235415,0.0005633325823155839,0.00047322502771268775,0.00013895616379372037,0.0002876130621707462,0.0003015675035879521,0.0002675368269204168,5.6460183985494115e-05,0.00020691241622149836,1.3686056933300596e-05,0.00015383159494580578,0.0005631782953309938,2.3736093753533817e-05,5.646018544185123e-05,-8.203695972497371e-05,0.0001538316120672789,338.90209562870047,338.90194215860333,ok,
